case_id,opened_date,priority,category,age_days,owner,status
C-2001,2026-08-01,High,Billing,12,Alex,Open
C-2002,2026-08-02,Low,Access,3,Blake,Closed
C-2003,2026-08-03,Medium,Bug,8,Casey,Open
C-2004,2026-08-04,High,Billing,15,Dana,Open
C-2005,2026-08-05,Low,How-to,2,Alex,Closed
C-2006,2026-08-06,Medium,Access,6,Blake,Open
C-2007,2026-08-07,High,Bug,11,Casey,Open
C-2008,2026-08-08,Low,Billing,1,Dana,Closed
C-2009,2026-08-09,Medium,How-to,9,Alex,Open
C-2010,2026-08-10,High,Access,14,Blake,Open
C-2011,2026-08-11,Low,Bug,4,Casey,Closed
C-2012,2026-08-12,Medium,Billing,7,Dana,Open
C-2013,2026-08-13,High,How-to,10,Alex,Open
C-2014,2026-08-14,Low,Access,2,Blake,Closed
C-2015,2026-08-15,Medium,Bug,13,Casey,Open
C-2016,2026-08-16,High,Billing,16,Dana,Open
C-2017,2026-08-17,Low,How-to,1,Alex,Closed
C-2018,2026-08-18,Medium,Access,5,Blake,Open
C-2019,2026-08-19,High,Bug,18,Casey,Open
C-2020,2026-08-20,Low,Billing,3,Dana,Closed
