order_id,order_date,region,product,qty,unit_price,status,owner
O-1001,2026-08-01,West,Widget A,4,25.00,Closed,Alex
O-1002,2026-08-02,East,Widget B,2,40.00,Closed,Blake
O-1003,2026-08-03,West,Widget A,1,25.00,Open,Alex
O-1004,2026-08-04,North,Widget C,6,15.00,Closed,Casey
O-1005,2026-08-05,South,Widget B,3,40.00,Late,Dana
O-1006,2026-08-06,East,Widget A,5,25.00,Closed,Blake
O-1007,2026-08-07,West,Widget C,2,15.00,Open,Alex
O-1008,2026-08-08,North,Widget B,1,40.00,Closed,Casey
O-1009,2026-08-09,South,Widget A,8,25.00,Late,Dana
O-1010,2026-08-10,East,Widget C,4,15.00,Closed,Blake
O-1011,2026-08-11,West,Widget B,2,40.00,Closed,Alex
O-1012,2026-08-12,North,Widget A,3,25.00,Open,Casey
O-1013,2026-08-13,South,Widget C,7,15.00,Closed,Dana
O-1014,2026-08-14,East,Widget B,1,40.00,Late,Blake
O-1015,2026-08-15,West,Widget A,9,25.00,Closed,Alex
O-1016,2026-08-16,North,Widget B,2,40.00,Closed,Casey
O-1017,2026-08-17,South,Widget A,4,25.00,Open,Dana
O-1018,2026-08-18,East,Widget C,5,15.00,Closed,Blake
O-1019,2026-08-19,West,Widget B,3,40.00,Late,Alex
O-1020,2026-08-20,North,Widget A,6,25.00,Closed,Casey
O-1021,2026-08-21,South,Widget C,2,15.00,Closed,Dana
O-1022,2026-08-22,East,Widget A,1,25.00,Open,Blake
O-1023,2026-08-23,West,Widget C,8,15.00,Closed,Alex
O-1024,2026-08-24,North,Widget B,4,40.00,Late,Casey
O-1025,2026-08-25,South,Widget A,3,25.00,Closed,Dana
O-1026,2026-08-26,East,Widget B,5,40.00,Closed,Blake
O-1027,2026-08-27,West,Widget A,2,25.00,Open,Alex
O-1028,2026-08-28,North,Widget C,1,15.00,Closed,Casey
O-1029,2026-08-29,South,Widget B,7,40.00,Late,Dana
O-1030,2026-08-30,East,Widget A,4,25.00,Closed,Blake
